wav	words	duration
Kelantan_002_001_001_065.wav	sakni kejut ore bakpo kaite nge gata kulit gata mulut	3.4294375
Kelantan_002_001_001_067.wav	ore sero ado amra	1.48525
Kelantan_002_001_001_068.wav	baye kea dok kalu kito wat ado pembakare hute mesti tubik abuk-abuk hok ni	6.9850625
Kelantan_002_001_001_069.wav	gapo doh ore kato tuh saintifik dio	2.89525
Kelantan_002_001_001_070.wav	karbon karbon doksida dok	2.034625
Kelantan_002_001_001_072.wav	tok bahayo gano amra geh hok ore tokse	2.816
Kelantan_002_001_001_073.wav	tapi pokok serak	1.142125
Kelantan_002_001_001_074.wav	tuh la masaloh  nyo loni sebak kito nih banyok dooh etek guno kreto lah tubik asap kea	5.61775
Kelantan_002_001_001_075.wav	asak-asak  tu buleh menyebabke jerebu	2.34125
Kelantan_002_001_001_076.wav	jerebu-jerebu tu gak  menyebabke  kito nih sakit go tuh la sakit goni la	6.4216875
Kelantan_002_001_001_078.wav	baka sapoh tu amra tengok	1.794125
Kelantan_002_001_001_079.wav	kalu baka sapoh keno baka supik rokrak	3.4133125
Kelantan_002_001_001_080.wav	gapo dio ado dale supik rokrak tu ado blako	4.17775
Kelantan_002_001_001_081.wav	buke stakat karbon dioksida hoo  metana la go tuh la go nih la ado blako	5.770125
Kelantan_002_001_001_083.wav	buke setakat asak la amra weh kalu keno ore sumo baka supik rokrak lagu mano	4.859625
Kelantan_002_001_001_085.wav	hooo mati pon awal	1.4614375
Kelantan_002_001_001_086.wav	mati cepat bbena	1.284375
Kelantan_002_001_001_087.wav	tuh kubo dekak umoh ore tuh	2.18375
Kelantan_002_001_001_089.wav	tengok semace ado jah hok baru semace	2.9823125
Kelantan_002_001_001_091.wav	buke sero la amra meme nyakit kito wak sdiri	3.2423125
Kelantan_002_001_001_092.wav	kito hok caghi pasal	1.770375
Kelantan_002_001_001_094.wav	nok saloh ko ore lain lagi tokleh	2.0705
Kelantan_002_001_001_095.wav	nok wat gano tebe pokok la	2.04625
Kelantan_002_001_001_097.wav	amra tengok loni duk ngumoh	2.2320625
Kelantan_002_001_001_098.wav	ngumoh tuh dale so ngumoh tu brapo banyok kreto ado	3.132125
Kelantan_002_001_001_099.wav	pah dale so kreto tu brapo banyok asak wat tubik	2.649625
Kelantan_002_001_001_101.wav	ado epat lah kalu kiro ado hok duk rumoh	2.4600625
Kelantan_002_001_001_102.wav	kalu hok dok luar nung ado la tigo epat ore lagitigo epat kreto pulok	4.94475
Kelantan_002_001_001_104.wav	tuh lah ore mikir gitu jugok tapi kalu amra tengok molek loni	3.8265
Kelantan_002_001_001_105.wav	kota bharu jare doh bah	1.3981875
Kelantan_002_001_001_106.wav	sebak apo	0.5228125
Kelantan_002_001_001_107.wav	sebak ore naik kreto rama dooh	2.057875
Kelantan_002_001_001_108.wav	tak dok kesedare dale diri kito masyarakat nih	3.2345
Kelantan_002_001_001_109.wav	try tengok lah kelantan mano ado bah sangat	2.636375
Kelantan_002_001_001_110.wav	tengok bah gapo	1.058
Kelantan_002_001_001_112.wav	city liner tu dok	1.1644375
Kelantan_002_001_001_115.wav	ari tuh kea amra nok oyak wi	1.5570625
Kelantan_002_001_001_116.wav	ore tanyo pok cik tuh pok cik tuh kato bas city liner tu nok bankrap doh dio kato	5.7845
Kelantan_002_001_001_117.wav	baye kea nok oyak nyo kito ni ore kapung ni tok guna nah bah	4.4166875
Kelantan_002_001_001_119.wav	tuh la bbenanyo kito hok keno start dulu	3.3774375
Kelantan_002_001_001_120.wav	kito ore mudo	1.1763125
Kelantan_002_001_001_121.wav	tula kito keno ajok saen-saen kito naik bah loni tokleh nok naik muto tokleh nok naik kreto belah mano doh loni	6.7143125
Kelantan_002_001_001_123.wav	ore sero la kalu mace kito sdiri la dok kito kalu mace ngumoh ore kea dekak jah nge kota bharu	8.3351875
Kelantan_002_001_001_124.wav	ngumoh amra kea jauh sikit bulih la amra nok naik bah	2.8021875
Kelantan_002_001_001_125.wav	tapi kalu ore bulih jah bbena nok naik basika tapi gak masalohnyo hoo gitu la	6.06525
Kelantan_002_001_001_126.wav	amra keno pehe la naik sika	1.53825
Kelantan_002_001_001_128.wav	sebak tok cekak gak kito naik la bah	2.08925
Kelantan_002_001_001_129.wav	pahtu so lagi kalu kreto tu isi la wi penuh	2.602125
Kelantan_002_001_001_130.wav	kalu kito gi nge saen-saen kito tok kea la kito naik duo ore jah	3.62375
Kelantan_002_001_001_131.wav	gi la bulih 3 4 ore	2.02175
Kelantan_002_001_001_132.wav	wi penuh kreto tu dulu	1.58025
Kelantan_002_001_001_133.wav	jpj nyo tok sekak eh kalu nyo dea penuh	2.8853125
Kelantan_002_001_001_135.wav	jange la sapa muate 6 ore keno bubuh 8 ore	3.683375
Kelantan_002_001_001_137.wav	dok la	0.6159375
Kelantan_002_001_001_138.wav	buke maksudnyo duo ore depe epat ore blake	2.961625
Kelantan_002_001_001_139.wav	lagu tu	0.991125
Kelantan_002_001_001_141.wav	kalu kreto kancil tu gak epat ore sebuoh kreto	3.2986875
Kelantan_002_001_001_143.wav	tuh la tuh la ore kato	1.5095
Kelantan_002_001_001_144.wav	kito keno start denge ore belie-belie mace kito nih	3.7601875
Kelantan_002_001_001_145.wav	keno start dulu	1.692125
Kelantan_002_001_001_146.wav	ore mudo supo kito nih keno start dulu	3.137625
Kelantan_002_001_001_147.wav	lagu mano nih nok wat gini keno wat gano	3.5061875
Kelantan_002_001_001_148.wav	keno cari inisiatif hok molek la	4.32475
Kelantan_002_001_001_150.wav	hooo nok caghi jale nok betuk gini semo	4.0201875
Kelantan_002_001_001_151.wav	kalu kito start gini dulu mesti jerebu tak dok loni	3.8404375
Kelantan_002_001_001_153.wav	tuh la keno ado gapo ore kato lestari la	3.4100625
Kelantan_002_001_001_155.wav	hooo kesedare tu	1.6120625
Kelantan_002_001_001_156.wav	tula kalu kito tak dop kesedare susoh jugok	2.8110625
Kelantan_002_001_001_157.wav	kito ni meme gapo kepen tuh banyok ngepeng duk dale tv ngepeng-ngepeng dale radio pon ngepeng	7.9841875
Kelantan_002_001_001_159.wav	tuh la kito keno ajok saen-saen kito beruboh dok amra dok	4.641875
Kelantan_002_001_001_160.wav	amra sero gano	1.7125625
Kelantan_002_001_001_161.wav	ore sero gitu la	1.803875
Kelantan_002_001_001_163.wav	bereh amra deh	1.33075
Kelantan_002_001_002_002.wav	hoo alik pagi tu ko	2.6325
Kelantan_002_001_002_004.wav	napok supo gapo kabus uda	3.80775
Kelantan_002_001_002_006.wav	tula ore sero kea nih kot uda sebak apo ore baka	5.1191875
Kelantan_002_001_002_008.wav	sebak  apo	2.6795
Kelantan_002_001_002_010.wav	sebab uda oyak gitu	1.6215
Kelantan_002_001_002_011.wav	hooo deh ore nih duk pasir tuh kea	3.1405
Kelantan_002_001_002_014.wav	yolo-yolo	1.126375
Kelantan_002_001_002_016.wav	pah kea uda kea	0.8696875
Kelantan_002_001_002_017.wav	kalu mace baka contohnyo mace ni mace pa ute ore baka ute kea uda	5.2653125
Kelantan_002_001_002_018.wav	uda rajin tengok kea dale berito hok tubik gapo pasal kebakare ute di mano	4.6158125
Kelantan_002_001_002_019.wav	di indonesia tu kea	1.3641875
Kelantan_002_001_002_021.wav	tu sebab jerebu jugok uda kea	1.5630625
Kelantan_002_001_002_023.wav	kito kea dekak nge indonesia sebak tu sapa pah sini	4.125
Kelantan_002_001_002_025.wav	tidok jugok eh ute amazon nge malaysia tu	3.164375
Kelantan_002_001_002_026.wav	sapa jugok ko	1.3515
Kelantan_002_001_002_028.wav	sebak ore tengok di hok ore tahu la di indonesia tu kea ado mace pembakare ute hok besar-besar hok ore tengok dale berito la	10.0056875
Kelantan_002_001_002_029.wav	mace jejah la di negaro kito ni tengok	3.8936875
Kelantan_002_001_002_030.wav	sebak tu la mace kito masaloh jerebu tu ado di negaro kito sebak ni	4.44275
Kelantan_002_001_002_031.wav	ore baka ute di indon tuh	2.0048125
Kelantan_002_001_002_033.wav	kalu ore hok gatal kulit ni uda yolo jugok ko	3.2055625
Kelantan_002_001_002_035.wav	ore rajin uda ore sero mace ni	2.4326875
Kelantan_002_001_002_036.wav	sero sakit mato	0.94925
Kelantan_002_001_002_037.wav	mace meroh-meroh	1.0694375
Kelantan_002_001_002_038.wav	sebak tu mace duk tenyeh-tenyeh sokmo mato gitu tu	2.724
Kelantan_002_001_002_040.wav	eye mo	1.0929375
Kelantan_002_001_002_042.wav	jolo ma ore rajin pese	2.2799375
Kelantan_002_001_002_043.wav	mace kalu sakit mato tu toksoh la duk tenyeh-tenyeh sangat bahayo	3.4784375
Kelantan_002_001_002_044.wav	tidok kea jadi mace koho napok meroh gitu	2.586
Kelantan_002_001_002_046.wav	tu ma kito saye kito uda deh	1.903875
Kelantan_002_001_002_048.wav	uda rajin gih  jupo doktor	1.24575
Kelantan_002_001_002_049.wav	ore jare la gih jupo doctor uda ore malah	2.726875
Kelantan_002_001_002_051.wav	pah uda gi sokmo ko	1.6065
Kelantan_002_001_002_055.wav	pahtu kalu masaloh jerebu lagi nihpahtu uda keno gapo lagi selain daripado keno sakit mato	5.850625
Kelantan_002_001_002_056.wav	gata-gata mulut yolo jugo uda kea	2.1275
Kelantan_002_001_002_058.wav	gata kulit	1.61525
Kelantan_002_001_002_060.wav	gata kulit ore royak	1.9519375
Kelantan_002_001_002_061.wav	jerebu kea mace asak kea bahayoade asid eh uda eh	3.5835
Kelantan_002_001_002_063.wav	gapo	0.728625
Kelantan_002_001_002_065.wav	hoo yolo	1.023125
Kelantan_002_001_002_066.wav	bahayo tu kea gas gotu sebak ore ingat lagi la maso ore ngaji  geografi maso tingkate ene	4.4594375
Kelantan_002_001_002_067.wav	cikgu kato geh karbon dioksida tu bahayo	4.2339375
Kelantan_002_001_002_069.wav	yolo pah so sebak ore baka ute	3.4905
Kelantan_002_001_002_070.wav	kalu baka sapoh jejah dok uda kalu baka sapoh	2.115375
Kelantan_002_001_002_073.wav	kalu baka sapoh buke sore baka sapoh rama ore kea	3.885
Kelantan_002_001_002_075.wav	mesti koho banyok kea asap tubik kea	2.22525
Kelantan_002_001_002_077.wav	yolo banyok hok behe tercemar sebab tu kito banyok bulih nyakit	4.651
Kelantan_002_001_002_078.wav	ore loni kea banyok nyakit kea	1.9955
Kelantan_002_001_002_080.wav	hoo yolo	1.0666875
Kelantan_002_001_002_082.wav	yolo uda kubo kat ngumoh ore pon rama jugok hok mati bekali nyakit ni doh kot	4.657
Kelantan_002_001_002_083.wav	nyakit buate kito sdiri nih ore sero uda	2.6355
Kelantan_002_001_002_085.wav	saloh diri kito sdiri	1.927375
Kelantan_002_001_002_087.wav	ngumoh uda ado brapo buoh kreto ngumoh uda	2.5591875
Kelantan_002_001_002_088.wav	capur nge abe capur nge kak	2.2094375
Kelantan_002_001_002_089.wav	hok mok lagi	1.22225
Kelantan_002_001_002_091.wav	sebak tu ore tok suko mano naik kreto	2.7178125
Kelantan_002_001_002_092.wav	kalu nok gi jauh-jauh pon ore relo naik bah uda	2.1331875
Kelantan_002_001_002_093.wav	kalu naik bah kito buleh kosi naik rama-rama	2.9966875
Kelantan_002_001_002_096.wav	hoo kawe pon lupo namo bah gapo kat kelantan	2.970375
Kelantan_002_001_002_097.wav	lamo doh gak	0.7895
Kelantan_002_001_002_098.wav	yolo doh uda	0.788
Kelantan_002_001_002_099.wav	lamo doh uda ore tok naik bah uda sero mace	2.7269375
Kelantan_002_001_002_100.wav	hoo yolo kalu nok gi mano-mano pon ore naik nge kreto	2.2946875
Kelantan_002_001_002_102.wav	tokleh doh	1.2575
Kelantan_002_001_002_104.wav	doh kito tok sokong belah mano deh	2.2944375
Kelantan_002_001_002_105.wav	kito kalu nok gi jale gak gi nge kreto gi nge muto	3.30275
Kelantan_002_001_002_106.wav	tokse naik bah	1.0725
Kelantan_002_001_002_108.wav	pahtu kironyo uda kesimpule uda la kalo kito nok gapo	4.375125
Kelantan_002_001_002_110.wav	tokse wi jerebu tu jadi banyok kerak do’oh kea uda agok-agok lah gapo hok kito nok wat uda	7.3053125
Kelantan_002_001_002_111.wav	kito la untuk diri kito sediri	2.333625
Kelantan_002_001_002_113.wav	ngumoh ore jauh	1.4381875
Kelantan_002_001_002_116.wav	uda cekak ko nok naik basikal gi pasir mah nge kota bharu jauh jugok	5.0535625
Kelantan_002_001_002_118.wav	yolo yolo	1.328
Kelantan_002_001_002_120.wav	kalu muat ene ore gak sumak supo ike sardin la pulop alik belake tuh	4.854625
Kelantan_002_001_002_122.wav	royak la gitu	2.2799375
Kelantan_002_001_002_125.wav	kiro tuh la uda pikir gitu jolo doh deh	2.1529375
Kelantan_002_001_002_126.wav	kalu rama ore mikir supo kito ore sero mace asak tu bulih la kure sikit tuh	5.1406875
Kelantan_002_001_002_127.wav	buke masuk kelantan sajo nuh negeri-negeri lain ganu pehey pene blako nuh	5.804125
Kelantan_002_001_002_128.wav	capur hok tu jadi banyok	1.9706875
Kelantan_002_001_002_130.wav	ore mudo supo kito la	2.06
Kelantan_002_001_002_132.wav	kito keno caghi jale la sebak ore kato kito ni kea bulih mikir	4.5228125
Kelantan_002_001_002_133.wav	bulih mikir	1.3410625
Kelantan_002_001_002_136.wav	jolo doh mace di sekoloh kea cikgu pon ado jugok ajar	3.060875
Kelantan_002_001_002_137.wav	uda amik kea jugok kea maso tingkate ene dulu	2.3076875
Kelantan_002_001_002_138.wav	lepas tu kito masuk u ni pon	1.75025
Kelantan_002_001_002_139.wav	doktor-doktor kito pon ado jugok oyak kea	2.5838125
Kelantan_002_001_002_141.wav	kesedare-kesedare tu mulo-mulo penting dale diri kito	3.43725
Kelantan_002_001_002_142.wav	betul dok uda	0.7928125
Kelantan_002_001_002_144.wav	tapi ore raso tok kesea sangat kalu kesedare dale diri kito tu tak dok	4.306375
Kelantan_002_001_002_146.wav	mmm yolo doh betul-betul	1.7281875
Kelantan_002_001_002_148.wav	ore pon ore setuju la nge uda oyak tu kito keno beruboh dulu mulo-mulo	5.07825
Kelantan_002_005_001_001.wav	avera make gapo tuh	4.4533125
Kelantan_002_005_001_003.wav	kuih malah	1.8235
Kelantan_002_005_001_004.wav	eh kuih malah	2.771125
Kelantan_002_005_001_005.wav	ore panggil go tuh amra amra	2.2450625
Kelantan_002_005_001_006.wav	gapo jepput malah	2.443875
Kelantan_002_005_001_007.wav	mugo goni ore panggil jepput malah	3.2993125
Kelantan_002_005_001_009.wav	oh colek malah deh ore panggil jepput malah	4.6645625
Kelantan_002_005_001_011.wav	hoo sero ni go tuh dale go tuh dale kiro dale jepput malah tuh dio bubuh go tuh kea sayur dok	8.4081875
Kelantan_002_005_001_013.wav	hoo kakung	2.8194375
Kelantan_002_005_001_015.wav	oh ore bbena tok rajin pun bowok jepput malah make tuh sajo jah go tuh dio hok sedak	8.344125
Kelantan_002_005_001_016.wav	hoo tuh lah make ore kato kalu make panah-panah sedak lagi	5.714125
Kelantan_002_005_001_018.wav	aloh la	2.03625
Kelantan_002_005_001_019.wav	hoo duk gere pete-pete bele-bele tengok gapo ore kato	4.070625
Kelantan_002_005_001_020.wav	hoo bowoh pokok pauh deah bele-bele tengok ore duk lalu lalu budok-budok kea duk main sika	5.94375
Kelantan_002_005_001_021.wav	aloh sedak nyo naik sika	2.9321875
Kelantan_002_005_001_022.wav	ni gapo amra	2.192875
Kelantan_002_005_001_023.wav	go tuh sedak jugo amra kalau kuih lah kalau kuih lah kalau ore la kiro hok suko-suko make gak cek mek cek mek	7.279375
Kelantan_002_005_001_024.wav	hoo buwak denge ubi stelo sunggoh amra sedak	5.5030625
Kelantan_002_005_001_026.wav	cek mek mudoh jah ore buh ubi tumbuk-tumbuk gak buh gulo	5.0553125
Kelantan_002_005_001_028.wav	hoo lah suggoh	1.6674375
Kelantan_002_005_001_029.wav	go tuh gapo selain dapado cek mek gak go tuh sedak	2.506125
Kelantan_002_005_001_032.wav	hoo lopat tike hok wano ija tu dok ha	4.38575
Kelantan_002_005_001_034.wav	go tuh	1.30525
Kelantan_002_005_001_035.wav	ore wat nge tepung berah go tuh dok	2.5013125
Kelantan_002_005_001_037.wav	hoo ore sero dio wat nge tepung berah buke tepung pulut kalau tepung pulut nih jenis donde gapo jenih teri mandi	6.6875
Kelantan_002_005_001_038.wav	hoo jenih teri mandi	2.5583125
Kelantan_002_005_001_039.wav	hoo gitu	1.4619375
Kelantan_002_005_001_042.wav	ni kalu hok jenih spesis tuh donde gak donde tu kea ore tok tahu ore panggil donde	6.8363125
Kelantan_002_005_001_043.wav	hoo donde tuh eh hok jenis spesis dio la jenih butir nanko	7.0485
Kelantan_002_005_001_044.wav	hoo pahtu teri mandi	3.1015625
Kelantan_002_005_001_045.wav	hoo hoo banyok bbena go tuh tapi gak dale banyok-banyok tuh kea hok jenih spesis donde tuh	5.6265625
Kelantan_002_005_001_046.wav	hok ore paling minak skali gak eh go tuh la butir nanko	5.648625
Kelantan_002_005_001_047.wav	sebab butir nanko kea ado kuwoh tapi gak butir nanko tok tehe nyo manih manih	4.907875
Kelantan_002_005_001_049.wav	hoo tapi betul jugok kalu mace kito dok kalu ore meme kito duk pine dok kito make roti cana dok	6.648
Kelantan_002_005_001_050.wav	roti cana set dio nih tawa hebe lecah leweh  gapo kuoh tuh	4.7215625
Kelantan_002_005_001_052.wav	tuh lah kalou ore la ore make gapo roti cana kea ore royak la ko pok cik tuh buh la sikit gulo dale kuwoh tu	6.3619375
Kelantan_002_005_001_053.wav	pahtu mesti pok cik tu tanyo awok ni dari kelate ko gitu lah	4.4458125
Kelantan_002_005_001_055.wav	hoo eh amra amra amra kena go tuh kuweh gapo kuweh itik	5.9520625
Kelantan_002_005_001_056.wav	hoo	1.8479375
Kelantan_002_005_001_057.wav	hoojolo doh kali kuweh tahi itik sedak amra	4.4174375
Kelantan_002_005_001_059.wav	banyok banyok bbena gapo makane kelate nihhok sedak-sedak koleh-koleh sedak jugo koleh ubi	7.6750625
Kelantan_002_005_001_060.wav	koleh koleh ubi badok sedaknyo	2.871625
Kelantan_002_005_001_062.wav	hoo jarum emah kuweh kuweh	2.3144375
Kelantan_002_005_001_063.wav	jarum emah ni oh manih leting	2.662
Kelantan_002_005_001_065.wav	supo kiro gulo nih jarum emah tuh	2.4539375
Kelantan_002_005_001_066.wav	hok iyo jenih eh kuweh dio kalu jenih bulak-bulak gitu dok	6.526375
Kelantan_002_005_001_067.wav	hoo kalu kito make aloh la lekat manih anok tekok	4.2813125
Kelantan_002_005_001_069.wav	hoo dio keno minum banyok air nih ah	3.550375
Kelantan_002_005_001_073.wav	kalu ore hok jenih brehi la brehi manih-manih dok bule make tapi misale ore tok brehi make manih gituh	8.3694375
Kelantan_002_005_001_075.wav	pulut pagi ko hok ado nyo dok	3.550375
Kelantan_002_005_001_076.wav	hoo kalu nyoade kaceoloh cicoh oh sedaknyo make	7.0373125
Kelantan_002_005_001_078.wav	tuh pahtu banyok amra kuweh	4.229125
Kelantan_002_005_001_080.wav	hoo ni amra tepung boko amra make tepung boko	4.6468125
Kelantan_002_005_001_081.wav	tepung boko	1.827375
Kelantan_002_005_001_082.wav	hoo	2.4539375
Kelantan_002_005_001_083.wav	hoo ado kea ado inti nyo dale inti nyo buh nise tuh	4.699
Kelantan_002_005_001_084.wav	tepung boko hok lembik-lembik tuh	3.1669375
Kelantan_002_005_001_085.wav	dio wat nge tepung tok tahu la ore tepung berah kot ko tepung ubi	6.2438125
Kelantan_002_005_001_087.wav	ado hok lipat denge go tuh yo bukuh denge daun pise	6.32525
Kelantan_002_005_001_089.wav	dio buh nyo ado nise dale	2.930625
Kelantan_002_005_001_090.wav	sedak dok	1.107125
Kelantan_002_005_001_092.wav	tu lah ari tu ado jumpo pine nih ore sero ore klate buwak tapi tok tahu	5.8894375
Kelantan_002_005_001_093.wav	eh dok la buleh la kalu stakak nok make tu	4.65725
Kelantan_002_005_001_094.wav	tapi kalu nak cari suggoh klate kuweh hok sedak meme keno gih pasa siti khadijoh alik-alik tupat gak	6.901125
Kelantan_002_005_001_097.wav	amra duk jaoh ore dekat jah	1.5955625
Kelantan_002_005_001_098.wav	ore kot area kota bharu tuh jah tapi gak kalu nok caghi kuweh sedak-sedak gaknok oyak nyo kalu klate la jame poso jame poso bule poso la	8.223
Kelantan_002_005_001_100.wav	hoo nasik krabu sedak tu nasik krabu azma amra rajin make nasik krabu azma	5.74325
Kelantan_002_005_001_101.wav	dekak denge pasir peke kot nu lakot-kot kota bharu	4.4614375
Kelantan_002_005_001_103.wav	hoo dio bubuh go tuh gapo ike-ike goren kea ike goren celuk tepung tu kea	6.7699375
Kelantan_002_005_001_104.wav	ike goren celup tepung hok serbuk aa gapo tahu	4.3335
Kelantan_002_005_001_106.wav	kalu dulu gak gapo abcpt dok air batu pulut tape dok hok tuh sedak jugo	8.3218125
Kelantan_002_005_001_108.wav	hoo wat ile kerin tekok ore katopadahal nyo buke wat ile kerin tekok	5.5030625
Kelantan_002_005_001_110.wav	hoo baso dio doh kito nih gapo ore kato	3.5075
Kelantan_002_005_001_111.wav	time panah nok sejuk time sejuk gak nok panah time huje gak sero oloh huje nyo tokleh nok wat kijo	6.1086875
Kelantan_002_005_001_113.wav	kalu huje sebuk pasa huje ore tringak go tuh amra ubi kayu amra	4.8034375
Kelantan_002_005_001_114.wav	allah sedaknyo ubi kayu cicoh nge nyo oloh sedaknyo	5.37775
Kelantan_002_005_001_116.wav	pahtu go tuh amra pulut-pulut pulut supo jugok	3.24525
Kelantan_002_005_001_117.wav	pulut dok pulut ike kerin pulut duriye tu musim duriye jah ado pulut ike kering nih	8.048
Kelantan_002_005_001_119.wav	nok oyak nyo makene-makene klate nih mewoh-mewoh buke mewoh lah maknonyo banyok	5.5803125
Kelantan_002_005_001_120.wav	nok oyak banyok dalam cito tok abih citonih sebuk go tuh terliur sebuk go tuh terliur	9.029125
Kelantan_002_005_001_122.wav	hoo supo ore arituh amra nok oyak nyo	4.062125
Kelantan_002_005_001_123.wav	kempune nyo nok make nasi dage nasi dage pahtu tape tape pulut kea oloh sedaknyo amra	10.2959375
Kelantan_002_005_001_124.wav	pahtu tupat go tuh amra	2.2468125
Kelantan_002_005_001_125.wav	tupat dakak aloh sedaknyo tupat dakak tupat tawa tupat dakak cicoh nge go tuh cicoh nisealoh	9.3779375
Kelantan_002_005_001_126.wav	samba ike tok tahu tapi kalu ore lah ore rajin nge nise ore kato meme tiptop tupat tawa kea	10.271875
Kelantan_002_005_001_127.wav	tawa-tawa pun manih jugok sero sikit-sikit	3.707
Kelantan_002_005_002_002.wav	mmm gapo	0.97575
Kelantan_002_005_002_004.wav	penoh make gapo	1.4685
Kelantan_002_005_002_005.wav	nih colek malah	2.8821875
Kelantan_002_005_002_006.wav	kuweh malah	1.002875
Kelantan_002_005_002_008.wav	hoo mu rajin napok kea	2.6970625
Kelantan_002_005_002_010.wav	jeput malah jolo jugok	3.0868125
Kelantan_002_005_002_011.wav	jolo jugok kapung ore panggil kuweh malah dok pun panggil colek malah	6.0749375
Kelantan_002_005_002_013.wav	supo la tuh tengok kea betuk dio supo jeput ni kea	3.6518125
Kelantan_002_005_002_015.wav	gapo	1.1885625
Kelantan_002_005_002_016.wav	kakung kalo kalo rajin bubuh	2.726875
Kelantan_002_005_002_018.wav	kalo la kalo ore buwak rumoh la ore wat takat ore buh kakung	5.384625
Kelantan_002_005_002_020.wav	beli	1.10225
Kelantan_002_005_002_022.wav	hoo dio wak nge kace pade molek deh	2.7826875
Kelantan_002_005_002_024.wav	sedaknyo wat nge air kopi pulok	2.70075
Kelantan_002_005_002_025.wav	duk gere pulop pete-pete	2.396
Kelantan_002_005_002_027.wav	bowoh pokok pauh	1.6353125
Kelantan_002_005_002_029.wav	budok-budok main basika pete-pete naik sika	3.3871875
Kelantan_002_005_002_031.wav	gapo	0.8673125
Kelantan_002_005_002_033.wav	hoo wak nge ubi stelor tuh ko	2.186375
Kelantan_002_005_002_035.wav	hoo ore rajin ore rajin	2.1669375
